"","X","region","population","sex","age","education","income","statusquo","vote","vote_yes"
"114",121,"N",250000,"F",35,"S",35000,-1.29617,"N",0
"115",122,"N",250000,"F",50,"S",125000,1.5877,"Y",1
"116",123,"N",250000,"M",66,"S",75000,1.25462,"Y",1
"117",124,"N",250000,"M",22,"PS",125000,-0.42219,"N",0
"118",125,"N",250000,"F",54,"S",75000,-0.12077,"N",0
"119",126,"N",250000,"F",22,"PS",35000,-0.27527,"N",0
"120",127,"N",250000,"F",70,"P",75000,1.39831,"Y",1
"121",128,"N",250000,"M",29,"S",75000,0.09897,"U",NA
"122",129,"N",250000,"F",50,"P",35000,-1.29617,"N",0
"123",130,"N",250000,"M",42,"PS",75000,1.45861,"Y",1
"124",131,"N",250000,"M",33,"S",7500,-1.29617,"N",0
"125",132,"N",250000,"M",52,"P",35000,-1.03168,"N",0
"126",133,"N",250000,"F",55,"S",15000,-1.29617,"N",0
"127",134,"N",250000,"F",50,"P",35000,0.6853,"Y",1
"128",135,"N",250000,"F",24,"P",7500,-1.2202,"N",0
"129",136,"N",250000,"F",26,"PS",35000,-1.29617,"N",0
"130",137,"N",250000,"M",23,"PS",35000,-1.01268,"N",0
"131",138,"N",250000,"F",55,"S",35000,-0.38049,"N",0
"132",139,"N",250000,"F",37,"S",35000,-0.46709,"U",NA
"133",140,"N",250000,"M",38,"PS",15000,-0.88584,"N",0
"134",141,"N",250000,"M",18,"PS",75000,-1.21974,"N",0
"135",142,"N",250000,"M",36,"S",35000,-0.40254,"N",0
"136",144,"N",250000,"F",36,"S",7500,1.40604,"Y",1
"137",145,"N",250000,"F",65,"PS",125000,-0.9981,"N",0
"138",146,"N",250000,"F",26,"PS",75000,1.48284,"Y",1
"139",147,"N",250000,"F",55,"S",75000,1.44104,"Y",1
"140",148,"N",250000,"F",59,"S",35000,1.5877,"Y",1
"141",149,"N",250000,"M",18,"S",15000,-0.70887,"A",NA
"142",150,"N",250000,"M",70,"P",7500,-0.36585,"N",0
"143",151,"N",250000,"F",24,"PS",35000,1.27926,"Y",1
"144",152,"N",250000,"F",26,"PS",75000,-1.10017,"N",0
"145",153,"N",250000,"F",44,"PS",75000,1.44183,"Y",1
"146",154,"N",250000,"M",53,"S",15000,-1.29617,"N",0
"147",155,"N",250000,"M",35,"PS",125000,-0.72892,"N",0
"148",156,"N",250000,"F",26,"PS",125000,1.4162,"Y",1
"149",157,"N",250000,"M",37,"P",15000,0.41711,"N",0
"150",158,"N",250000,"F",70,"PS",125000,1.44896,"Y",1
"151",159,"N",250000,"M",23,"PS",35000,-1.25795,"N",0
"152",160,"N",250000,"F",18,"S",35000,1.50986,"Y",1
"153",161,"N",87500,"M",41,"PS",35000,-0.47135,"A",NA
"154",162,"N",87500,"F",30,"P",15000,1.60783,"Y",1
"155",163,"N",87500,"F",46,"P",7500,1.51786,"Y",1
"156",164,"N",87500,"M",22,"P",15000,-0.51949,"N",0
"157",165,"N",87500,"F",26,"S",15000,-0.34236,"A",NA
"158",166,"N",87500,"F",42,"P",15000,1.54808,"Y",1
"159",167,"N",87500,"F",25,"S",15000,1.37129,"Y",1
"160",168,"N",87500,"M",42,"P",15000,1.5877,"Y",1
"161",169,"N",87500,"M",32,"PS",75000,1.36312,"Y",1
"162",170,"N",87500,"F",51,"P",2500,1.59607,"Y",1
"163",171,"N",87500,"M",18,"S",15000,-1.10367,"N",0
"164",172,"N",87500,"F",44,"PS",35000,-0.71653,"N",0
"165",173,"N",87500,"M",40,"S",15000,-1.03937,"N",0
"166",174,"N",87500,"F",33,"S",2500,-1.14317,"N",0
"167",175,"N",87500,"F",21,"S",35000,0.54901,"Y",1
"168",176,"N",87500,"F",28,"P",15000,1.19006,"U",NA
"169",177,"N",87500,"F",37,"S",7500,-0.6617,"N",0
"170",178,"N",87500,"F",58,"P",7500,1.4527,"Y",1
"171",179,"N",87500,"M",37,"S",75000,1.40361,"Y",1
"172",180,"N",87500,"M",18,"P",35000,-0.12713,"Y",1
"173",181,"N",45000,"F",33,"S",35000,0.9475,"Y",1
"174",182,"N",45000,"F",45,"P",15000,0.83473,"U",NA
"175",183,"N",45000,"F",34,"S",15000,1.43653,"Y",1
"176",184,"N",45000,"M",25,"PS",35000,0.32764,"Y",1
"177",186,"N",45000,"M",46,"P",35000,1.56214,"U",NA
"178",187,"N",45000,"F",63,"P",7500,-0.78362,"U",NA
"179",188,"N",45000,"F",53,"P",15000,0.9948,"Y",1
"180",189,"N",45000,"M",32,"S",35000,-0.16227,"A",NA
"181",190,"N",45000,"F",31,"PS",35000,0.98196,"Y",1
"182",191,"N",45000,"M",23,"P",15000,0.37411,"Y",1
"183",192,"N",45000,"F",25,"P",15000,1.33395,"Y",1
"184",193,"N",45000,"F",39,"PS",15000,-0.59827,"N",0
"185",194,"N",45000,"F",25,"P",15000,0.43403,"Y",1
"186",195,"N",45000,"M",48,"P",7500,1.62138,"Y",1
"187",196,"N",45000,"M",65,"S",2500,1.39445,"A",NA
"188",197,"N",45000,"F",25,"P",15000,1.5877,"Y",1
"189",198,"N",45000,"M",18,"S",15000,1.4156,"Y",1
"190",200,"N",45000,"F",66,"P",2500,-1.29617,"N",0
"191",201,"N",3750,"M",60,"P",75000,-0.38693,"N",0
"192",202,"N",3750,"M",37,"PS",35000,-0.58756,"N",0
"193",203,"N",3750,"F",61,"S",15000,1.44401,"U",NA
"194",204,"N",3750,"F",34,"S",35000,0.02178,"N",0
"195",205,"N",3750,"M",28,"S",15000,-0.66899,"N",0
"196",206,"N",3750,"M",59,"P",35000,1.19563,"Y",1
"197",207,"N",3750,"M",21,"P",15000,-0.04558,"N",0
"198",208,"N",3750,"F",27,"S",2500,0.65137,"Y",1
"199",210,"N",3750,"M",24,"S",15000,-0.95939,"N",0
"200",211,"N",3750,"M",59,"P",7500,1.41416,"Y",1
"201",212,"N",3750,"F",48,"P",7500,1.21125,"Y",1
"202",213,"N",3750,"F",26,"P",2500,1.50986,"Y",1
"203",214,"N",3750,"M",64,"P",7500,0.98716,"Y",1
"204",215,"N",3750,"M",20,"P",15000,1.05745,"Y",1
"205",216,"N",3750,"M",25,"S",15000,0.34737,"Y",1
"206",217,"N",3750,"F",49,"P",7500,0.15444,"Y",1
"207",218,"N",3750,"M",70,"P",35000,-1.10356,"N",0
"208",219,"N",3750,"F",22,"S",15000,1.05653,"Y",1
"209",220,"N",3750,"M",18,"P",15000,0.0224,"Y",1
"210",221,"N",125000,"F",58,"PS",35000,-0.82454,"U",NA
"211",222,"N",125000,"M",31,"S",35000,-0.91124,"Y",1
"212",223,"N",125000,"F",48,"PS",35000,-0.82983,"Y",1
"213",224,"N",125000,"M",64,"P",15000,1.33246,"U",NA
"214",225,"N",125000,"F",23,"S",15000,1.44853,"Y",1
"215",226,"N",125000,"F",59,"P",7500,0.1502,"U",NA
"216",228,"N",125000,"F",37,"S",15000,-0.64763,"U",NA
"217",229,"N",125000,"F",28,"S",35000,-1.07837,"N",0
"218",230,"N",125000,"F",51,"S",7500,-0.78943,"U",NA
"219",231,"N",125000,"F",27,"S",7500,0.29045,"Y",1
"220",232,"N",125000,"M",38,"S",15000,-0.89647,"N",0
"221",233,"N",125000,"M",34,"PS",35000,-1.29617,"N",0
"222",234,"N",125000,"F",46,"P",2500,-1.29617,"N",0
"223",235,"N",125000,"M",25,"S",7500,-0.92377,"N",0
"224",236,"N",125000,"M",29,"S",75000,-0.6018,"Y",1
"225",237,"N",125000,"F",26,"P",15000,1.3646,"A",NA
"226",238,"N",125000,"F",34,"P",7500,0.57019,"Y",1
"227",239,"N",125000,"M",66,"P",7500,-0.18511,"Y",1
"228",240,"N",125000,"F",44,"P",35000,1.51576,"Y",1
"229",241,"N",125000,"M",38,"S",7500,0.07104,"A",NA
"230",242,"N",125000,"M",39,"S",7500,0.75719,"Y",1
"231",243,"N",125000,"F",22,"S",15000,-1.07861,"N",0
"232",244,"N",125000,"F",47,"P",15000,1.43653,"Y",1
"233",245,"N",125000,"M",24,"S",35000,0.00883,"Y",1
"234",246,"N",125000,"M",27,"S",35000,1.34829,"Y",1
"235",247,"N",125000,"F",21,"S",75000,-1.15231,"N",0
"236",248,"N",125000,"M",36,"PS",75000,1.01364,"Y",1
"237",249,"N",125000,"F",62,"P",15000,0.23772,"Y",1
"238",252,"N",125000,"F",70,"P",15000,1.25145,"Y",1
"239",253,"N",125000,"F",49,"P",35000,0.61995,"U",NA
"240",254,"N",125000,"M",33,"S",35000,0.12409,"A",NA
"241",255,"N",125000,"F",35,"P",15000,-1.19054,"N",0
"242",256,"N",125000,"F",29,"P",15000,1.23505,"Y",1
"243",257,"N",125000,"F",38,"P",15000,1.24225,"Y",1
"244",258,"N",125000,"M",21,"S",35000,-0.56293,"N",0
"245",259,"N",125000,"F",59,"PS",35000,-1.18011,"N",0
"246",260,"N",125000,"M",59,"P",15000,1.37738,"Y",1
"247",261,"N",15000,"M",63,"P",7500,0.57069,"A",NA
"248",262,"N",15000,"F",27,"P",75000,-1.1401,"A",NA
"249",263,"N",15000,"M",24,"PS",35000,-0.89647,"N",0
"250",264,"N",15000,"F",37,"P",15000,-0.33039,"U",NA
"251",265,"N",15000,"M",30,"S",35000,-0.95133,"A",NA
"252",266,"N",15000,"M",53,"P",15000,-1.03452,"U",NA
"253",267,"N",15000,"F",31,"S",15000,0.29023,"Y",1
"254",268,"N",15000,"M",27,"P",15000,-0.20566,"N",0
"255",269,"N",15000,"F",29,"P",35000,0.96777,"Y",1
"256",270,"N",15000,"F",33,"P",15000,0.82724,"Y",1
"257",271,"N",15000,"F",27,"P",15000,1.07644,"Y",1
"258",272,"N",15000,"M",66,"P",15000,-0.53327,"U",NA
"259",273,"N",15000,"M",27,"P",7500,-1.29617,"U",NA
"260",274,"N",15000,"F",50,"P",35000,-0.82904,"U",NA
"261",275,"N",15000,"M",64,"P",7500,-1.19662,"N",0
"262",276,"N",15000,"F",59,"P",7500,-0.0725,"N",0
"263",277,"N",15000,"F",32,"S",15000,-0.87318,"Y",1
"264",278,"N",15000,"M",26,"S",75000,1.55477,"Y",1
"265",279,"N",15000,"M",20,"S",15000,-0.5265,"A",NA
"266",280,"N",15000,"M",39,"P",15000,1.3766,"Y",1
"267",281,"N",87500,"F",29,"PS",15000,-1.23032,"N",0
"268",282,"N",87500,"F",47,"P",35000,1.22543,"Y",1
"269",283,"N",87500,"M",68,"P",15000,1.40952,"Y",1
"270",284,"N",87500,"M",19,"P",7500,0.90496,"U",NA
"271",285,"N",87500,"F",35,"P",7500,-1.23032,"Y",1
"272",286,"N",87500,"F",29,"P",7500,0.40561,"Y",1
"273",287,"N",87500,"M",58,"P",15000,-1.29617,"N",0
"274",288,"N",87500,"M",70,"P",15000,-0.13177,"Y",1
"275",289,"N",87500,"F",36,"P",15000,-0.46162,"N",0
"276",290,"N",87500,"M",30,"S",35000,-1.00254,"N",0
"277",291,"N",87500,"M",31,"P",15000,-0.93686,"Y",1
"278",292,"N",87500,"M",31,"P",7500,-0.89725,"N",0
"279",293,"N",87500,"F",30,"P",7500,-1.11878,"U",NA
"280",294,"N",87500,"M",37,"S",15000,-1.29617,"N",0
"281",295,"N",87500,"F",48,"P",7500,-1.23032,"U",NA
"282",297,"N",87500,"F",52,"P",15000,0.21063,"N",0
"283",298,"N",87500,"M",70,"P",7500,0.07094,"A",NA
"284",299,"N",87500,"F",50,"P",15000,0.51411,"Y",1
"285",300,"N",87500,"F",29,"P",15000,0.09532,"A",NA
"286",302,"N",25000,"F",37,"P",15000,1.17633,"U",NA
"287",303,"N",25000,"M",68,"P",15000,1.37208,"Y",1
"288",304,"N",25000,"F",29,"P",35000,1.01672,"Y",1
"289",305,"N",25000,"F",35,"P",2500,0.05559,"Y",1
"290",306,"N",25000,"M",24,"S",7500,0.77841,"Y",1
"291",307,"N",25000,"F",60,"S",35000,1.46136,"Y",1
"292",308,"N",25000,"M",21,"S",35000,-1.00054,"N",0
"293",309,"N",25000,"M",53,"PS",35000,-1.29617,"N",0
"294",310,"N",25000,"F",35,"PS",35000,-0.81863,"U",NA
"295",311,"N",25000,"F",60,"P",7500,-0.69788,"A",NA
"296",313,"N",25000,"F",26,"S",7500,-1.03006,"N",0
"297",314,"N",25000,"M",28,"S",15000,0.48311,"A",NA
"298",315,"N",25000,"M",43,"S",35000,-1.29617,"N",0
"299",316,"N",25000,"M",35,"PS",200000,-0.95913,"A",NA
"300",317,"N",25000,"F",23,"P",15000,1.21184,"Y",1
"301",318,"N",25000,"M",26,"S",15000,-1.1868,"N",0
"302",319,"N",25000,"F",58,"P",35000,0.53257,"N",0
"303",320,"N",25000,"F",70,"P",15000,1.33444,"Y",1
"304",321,"C",25000,"F",44,"P",7500,-0.96154,"U",NA
"305",322,"C",25000,"M",32,"S",15000,-0.87595,"N",0
"306",323,"C",25000,"F",32,"S",15000,0.73621,"Y",1
"307",324,"C",25000,"F",60,"S",15000,-0.78119,"N",0
"308",325,"C",25000,"M",45,"P",15000,1.08003,"U",NA
"309",326,"C",25000,"F",45,"P",15000,0.32158,"U",NA
"310",327,"C",25000,"M",21,"P",2500,1.03727,"Y",1
"311",328,"C",25000,"M",32,"S",35000,-1.25795,"N",0
"312",329,"C",25000,"M",44,"PS",35000,-1.29617,"N",0
"313",330,"C",25000,"M",56,"S",75000,1.51576,"Y",1
"314",331,"C",25000,"F",67,"P",15000,-0.52966,"Y",1
"315",332,"C",25000,"F",27,"S",35000,1.19271,"Y",1
"316",333,"C",25000,"F",29,"S",7500,-1.29617,"N",0
"317",334,"C",25000,"M",51,"P",35000,-1.29617,"N",0
"318",335,"C",25000,"M",26,"S",35000,-0.61861,"N",0
"319",336,"C",25000,"F",56,"P",7500,-1.1209,"A",NA
"320",337,"C",25000,"F",36,"P",15000,-0.36391,"U",NA
"321",338,"C",25000,"M",58,"P",15000,-1.26325,"N",0
"322",339,"C",25000,"M",35,"P",35000,0.08007,"U",NA
"323",340,"C",25000,"M",34,"P",35000,-1.29617,"N",0
"324",341,"C",45000,"F",56,"P",7500,-1.25795,"N",0
"325",342,"C",45000,"F",24,"P",7500,-1.29617,"N",0
"326",343,"C",45000,"M",20,"S",35000,-1.29617,"N",0
"327",344,"C",45000,"M",21,"S",35000,-1.19504,"N",0
"328",345,"C",45000,"M",58,"S",35000,-1.14049,"N",0
"329",346,"C",45000,"F",33,"S",75000,-0.30372,"N",0
"330",347,"C",45000,"M",35,"S",75000,-1.21834,"N",0
"331",348,"C",45000,"F",32,"P",15000,1.5877,"Y",1
"332",349,"C",45000,"F",40,"PS",75000,-1.29617,"N",0
"333",350,"C",45000,"M",36,"PS",200000,-0.21637,"N",0
"334",351,"C",45000,"F",18,"S",35000,-0.31489,"U",NA
"335",352,"C",45000,"M",57,"PS",35000,1.43772,"Y",1
"336",353,"C",45000,"M",44,"S",35000,-1.03566,"N",0
"337",354,"C",45000,"F",51,"P",15000,1.15628,"Y",1
"338",355,"C",45000,"M",26,"S",35000,-0.64455,"N",0
"339",356,"C",45000,"M",34,"S",75000,0.66781,"Y",1
"340",357,"C",45000,"F",47,"S",75000,-0.897,"N",0
"341",359,"C",45000,"F",18,"S",75000,-0.92939,"N",0
"342",360,"C",45000,"M",51,"PS",75000,-1.08055,"N",0
"343",361,"C",62500,"F",26,"S",15000,0.66877,"Y",1
"344",362,"C",62500,"M",29,"PS",75000,0.77374,"Y",1
"345",363,"C",62500,"F",27,"P",15000,1.25914,"Y",1
"346",364,"C",62500,"F",57,"S",2500,1.5877,"Y",1
"347",365,"C",62500,"M",67,"P",7500,1.59802,"Y",1
"348",366,"C",62500,"F",30,"S",35000,0.93454,"Y",1
"349",367,"C",62500,"M",21,"S",15000,-1.06991,"N",0
"350",368,"C",62500,"M",68,"P",15000,-1.29617,"N",0
"351",370,"C",62500,"F",38,"S",15000,-1.00007,"N",0
"352",371,"C",62500,"M",21,"S",75000,-0.6626,"A",NA
"353",372,"C",62500,"M",50,"S",75000,-1.14103,"N",0
"354",373,"C",62500,"F",19,"S",15000,-1.14361,"N",0
"355",374,"C",62500,"F",57,"S",15000,-1.29617,"N",0
"356",375,"C",62500,"F",51,"S",15000,-1.15092,"N",0
"357",376,"C",62500,"M",69,"P",15000,-1.29617,"N",0
"358",377,"C",62500,"M",22,"PS",75000,-1.07977,"N",0
"359",378,"C",62500,"F",32,"S",7500,-1.29617,"N",0
"360",379,"C",62500,"F",68,"P",35000,-1.29617,"N",0
"361",380,"C",62500,"M",22,"PS",35000,-1.29617,"N",0
"362",381,"C",15000,"M",48,"P",15000,-0.75604,"N",0
"363",382,"C",15000,"M",31,"P",7500,0.36202,"Y",1
"364",383,"C",15000,"F",25,"S",15000,-0.86459,"N",0
"365",384,"C",15000,"F",52,"P",7500,-0.72812,"U",NA
"366",385,"C",15000,"M",39,"P",35000,1.47024,"Y",1
"367",387,"C",15000,"F",22,"P",15000,1.54808,"Y",1
"368",388,"C",15000,"M",19,"S",35000,-0.98933,"N",0
"369",389,"C",15000,"F",47,"P",7500,0.15506,"U",NA
"370",390,"C",15000,"M",18,"P",35000,-0.99498,"N",0
"371",391,"C",15000,"F",33,"S",35000,0.45262,"U",NA
"372",392,"C",15000,"M",49,"P",15000,0.18113,"U",NA
"373",393,"C",15000,"F",40,"S",7500,-0.75505,"A",NA
"374",394,"C",15000,"M",28,"P",15000,-0.36182,"U",NA
"375",395,"C",15000,"F",37,"S",15000,0.42459,"Y",1
"376",396,"C",15000,"F",38,"S",35000,0.59831,"U",NA
"377",397,"C",15000,"F",27,"P",15000,-1.12193,"U",NA
"378",398,"C",15000,"M",26,"P",35000,1.19153,"U",NA
"379",399,"C",15000,"M",21,"P",35000,-0.72868,"N",0
"380",400,"C",15000,"M",54,"P",7500,-1.09392,"N",0
"381",401,"C",15000,"M",27,"S",35000,0.6118,"U",NA
"382",403,"C",15000,"M",32,"S",35000,-1.18933,"N",0
"383",404,"C",15000,"F",22,"S",7500,-0.89654,"A",NA
"384",405,"C",15000,"F",40,"S",35000,-0.29904,"A",NA
"385",406,"C",15000,"M",70,"PS",15000,1.29276,"Y",1
"386",407,"C",15000,"M",42,"S",35000,1.10717,"Y",1
"387",408,"C",15000,"M",20,"PS",125000,0.4198,"N",0
"388",409,"C",15000,"F",23,"PS",125000,0.30914,"U",NA
"389",410,"C",15000,"F",64,"P",7500,1.25272,"Y",1
"390",411,"C",15000,"M",21,"PS",35000,1.44401,"Y",1
"391",412,"C",15000,"M",70,"P",7500,-0.9845,"U",NA
"392",413,"C",15000,"M",57,"P",2500,-0.64767,"N",0
"393",414,"C",15000,"F",33,"S",7500,0.11608,"U",NA
"394",415,"C",15000,"F",57,"P",2500,1.44738,"Y",1
"395",416,"C",15000,"M",38,"P",7500,-0.59124,"U",NA
"396",417,"C",15000,"M",30,"P",2500,1.13733,"U",NA
"397",418,"C",15000,"F",56,"P",7500,-1.29617,"N",0
"398",419,"C",15000,"F",33,"P",15000,-0.27875,"U",NA
"399",420,"C",15000,"F",64,"P",2500,-1.09626,"U",NA
"400",421,"C",250000,"F",35,"S",200000,-1.11826,"N",0
"401",422,"C",250000,"F",40,"S",75000,1.05576,"U",NA
"402",423,"C",250000,"M",66,"P",75000,1.46885,"Y",1
"403",424,"C",250000,"M",22,"S",35000,1.06974,"A",NA
"404",426,"C",250000,"M",23,"S",35000,-1.25795,"N",0
"405",427,"C",250000,"F",28,"S",35000,-1.29617,"N",0
"406",428,"C",250000,"F",62,"P",15000,-1.29617,"N",0
"407",429,"C",250000,"M",28,"P",2500,-1.29617,"N",0
"408",430,"C",250000,"M",39,"P",15000,0.75644,"Y",1
"409",431,"C",250000,"F",42,"S",35000,1.22853,"Y",1
"410",432,"C",250000,"F",23,"S",7500,-1.29617,"N",0
"411",433,"C",250000,"M",19,"S",35000,-1.1113,"N",0
"412",434,"C",250000,"F",19,"S",15000,-0.18302,"U",NA
"413",435,"C",250000,"M",59,"S",15000,-1.29617,"N",0
"414",436,"C",250000,"F",33,"S",35000,-0.21633,"N",0
"415",437,"C",250000,"F",48,"S",7500,0.29811,"U",NA
"416",438,"C",250000,"M",44,"PS",35000,-1.18151,"N",0
"417",439,"C",250000,"F",70,"S",35000,-1.03066,"U",NA
"418",440,"C",250000,"M",25,"S",35000,0.76551,"A",NA
